Common Assumption,Context,Context_Breaking,Question,Answer_context,Answer_breaking
"Generally, people like to eat desserts after a meal.",Alex has a sweet tooth and likes to eat desserts after every meal,Alex has diabetes and thus can't have sweets,"He was invited for dinner at his friend's place. After dinner, he was offered donuts, will he consume them?",Yes,No
"Generally, people like to eat desserts after a meal.",Alex has a sweet tooth and likes to eat desserts after dinner,Alex has diabetes and thus can't eat sweets,"He was invited for dinner at his friend's place. After dinner, he was offered donuts, will he decline them?",No,Yes
"Generally, people like to eat desserts after a meal.",Alex likes to eat sweets.,Alex doesn't like eating sweets.,"He was invited for dinner at his friend's place. After dinner, he was offered donuts, will he decline them?",No,Yes
"Generally, people like to eat desserts after a meal.",Alex likes to have sweets.,Alex doesn't like consuming sweets.,"He was invited for dinner at his friend's place. After dinner, will he like to have some sweets?",Yes,No
"Generally, people like to eat desserts after a meal.",Bobby enjoys eating desserts.,Bobby doesn't enjoy eating desserts.,Someone offered Bobby a dessert during lunch. Will Bobby like to have the dessert?,Yes,No
"Generally, people like to eat desserts after a meal.",Bobby enjoys eating sweet dishes.,Bobby doesn't enjoy eating sweets.,Someone offered Bobby a dessert during lunch. Will Bobby not like to have the dessert?,No,Yes
"Generally, a branded watch is more expensive than a regular watch",A premium brand has launched a new collection of luxury watches which are very expensive,A premium brand which is known for expensive luxury watches has launched a new collection of watches which are available at low prices in this month.,"Jimmy is looking to buy a watch but has very low budget, should he go for this premium brand?",No,Yes
"Generally, a branded watch is more expensive than a regular watch",A premium brand has launched a new collection of luxury watches which are very expensive,A premium brand which is known for expensive luxury watches has launched a new collection of watches which are available at low prices in this month.,"Jimmy is looking to buy a watch but has very low budget, should he avoid this premium brand?",Yes,No
"Generally, a branded watch is more expensive than a regular watch",A premium brand has launched a new collection of luxury watches which are very expensive,A premium brand which is known for expensive luxury watches has launched a new collection of watches which are available at low prices in this month.,"Jimmy is looking to buy a very expensive watch, should he explore this new collection of this premium brand?",Yes,No
"Generally, a branded watch is more expensive than a regular watch",A premium brand has launched a new collection of luxury watches which are very expensive,A premium brand which is known for expensive luxury watches has launched a new collection of watches which are available at low prices.,"Jimmy is looking to buy a very expensive watch, should he avoid this new collection of this premium brand?",No,Yes
"Generally, a top-ranked player gets more money to play than a bottom-ranked player",Tennis federation has started a new tournament and the top ranked players get more money than new players,"Tennis federation has stated a new tournament and to encourage new players, it is paying them more match fees than even the top-ranked players.","Rogers is a top-ranked player, will he get more money than a new player who is playing his first match?",Yes,No
"Generally, a top-ranked player gets more money to play than a bottom-ranked player",Tennis federation has started a new tournament and the top ranked players get more money than new players,"Tennis federation has stated a new tournament and to encourage new players, it is paying them more match fees than even the top-ranked players.","Rogers is a top-ranked player, will he get less money than a new player who is playing his first match?",No,Yes
"Generally, a top-ranked player gets more money to play than a bottom-ranked player",Tennis federation has started a new tournament and the top ranked players get more money than new players,"Tennis federation has stated a new tournament and to encourage new players, it is paying them more match fees than even the top-ranked players.","Rogers is a new player, will he get more money than a top ranked player?",No,Yes
